id,title,ownerAgent,status,risk
AI-001,Platform identity normalization,product_manager,READY,LOW
AI-002,Vercel preview setup plan,release_manager,READY,LOW
AI-003,Linear workspace roadmap,product_manager,READY,LOW
AI-004,GitHub branch protection plan,architect,READY,LOW
AI-005,Copilot agent first issue,product_manager,READY,LOW
AI-006,QA build hardening,qa_worker,READY,MEDIUM
AI-007,Premium library metadata next step,library_worker,READY,LOW
AI-008,Demo status page,frontend_worker,READY,MEDIUM
AI-009,Cost guard automation,cost_guard,READY,LOW
AI-010,Release gate staging only,release_manager,READY,LOW

